Name,month,Relative Humidity
Boston,3,57.33
Boston,4,59.53
Boston,5,57.51
Boston,6,64.9
Boston,7,70.02
Boston,8,64.02
Boston,9,62.62
Dallas,3,69.38
Dallas,4,60.76
Dallas,5,61.31
Dallas,6,54.04
Dallas,7,59.85
Dallas,8,51.04
Dallas,9,71.59
Denver,3,57.16
Denver,4,49.88
Denver,5,52.94
Denver,6,37.36
Denver,7,44.23
Denver,8,35.74
Denver,9,40.65
Detroit,3,72.02
Detroit,4,64.55
Detroit,5,65.69
Detroit,6,60.45
Detroit,7,67.06
Detroit,8,68.78
Detroit,9,71.62
Honolulu,3,70.93
Honolulu,4,67.73
Honolulu,5,63.37
Honolulu,6,63.39
Honolulu,7,64.76
Honolulu,8,61.92
Honolulu,9,60.96
LA,3,60.69
LA,4,61.66
LA,5,60.92
LA,6,60.68
LA,7,66.66
LA,8,64.53
LA,9,61.34
Miami,3,64.85
Miami,4,69.86
Miami,5,72.73
Miami,6,75.05
Miami,7,72.3
Miami,8,73.98
Miami,9,75.81
NYC,3,62.21
NYC,4,61.5
NYC,5,61.49
NYC,6,65.07
NYC,7,70.24
NYC,8,70.43
NYC,9,65.46
San Fran,3,0.0
San Fran,4,0.0
San Fran,5,0.0
San Fran,6,0.0
San Fran,7,0.0
San Fran,8,0.0
San Fran,9,0.0
Seattle,3,71.32
Seattle,4,62.93
Seattle,5,63.6
Seattle,6,66.02
Seattle,7,60.34
Seattle,8,59.93
Seattle,9,66.05
