,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_away_from_home,New Cases Per Million People,Total Cases Per Million People
200,1,Los Angeles,CA,California,6,10039107,2020,9,11,252066,1042,2511.0,8.05,-0.142,104.0,25108.0
401,2,New York City,NY,New York,36,8336817,2020,9,11,241936,250,2902.0,3.08,-0.111,30.0,29020.0
602,7,Dallas,TX,Texas,48,2635516,2020,9,11,78291,343,2971.0,12,-0.0959,130.0,29706.0
803,9,Seattle,WA,Washington,53,2252782,2020,9,11,20718,133,920.0,3.97,-0.149,59.0,9197.0
1004,13,Detroit,MI,Michigan,26,1749343,2020,9,11,33138,261,1894.0,10.5,-0.0638,149.0,18943.0
1205,21,San Francisco,CA,California,6,881549,2020,9,11,10191,68,1156.0,7.02,-0.25,77.0,11560.0
1406,25,Boston,MA,Massachusetts,25,803907,2020,9,11,23028,108,2865.0,8.87,-0.12,134.0,28645.0
1607,28,Denver,CO,Colorado,8,727211,2020,9,11,11685,58,1607.0,5.26,-0.11800000000000001,80.0,16068.0
1808,38,Miami,FL,Florida,12,2716940,2020,9,11,163374,481,6013.0,15.3,-0.136,177.0,60132.0
2009,48,Honolulu,HI,Hawaii,15,974563,2020,9,11,9503,143,975.0,13.6,-0.21100000000000002,147.0,9751.0
199,1,Los Angeles,CA,California,6,10039107,2020,9,10,251024,1165,2500.0,8.57,-0.141,116.0,25005.0
400,2,New York City,NY,New York,36,8336817,2020,9,10,241686,335,2899.0,3.21,-0.11,40.0,28990.0
601,7,Dallas,TX,Texas,48,2635516,2020,9,10,77948,214,2958.0,12.5,-0.0959,81.0,29576.0
802,9,Seattle,WA,Washington,53,2252782,2020,9,10,20585,126,914.0,4.13,-0.145,56.0,9138.0
1003,13,Detroit,MI,Michigan,26,1749343,2020,9,10,32877,231,1879.0,10.2,-0.0638,132.0,18794.0
1204,21,San Francisco,CA,California,6,881549,2020,9,10,10123,46,1148.0,6.87,-0.243,52.0,11483.0
1405,25,Boston,MA,Massachusetts,25,803907,2020,9,10,22920,89,2851.0,5.81,-0.11599999999999999,111.0,28511.0
1606,28,Denver,CO,Colorado,8,727211,2020,9,10,11627,35,1599.0,5.13,-0.11699999999999999,48.0,15988.0
1807,38,Miami,FL,Florida,12,2716940,2020,9,10,162893,461,5995.0,15.3,-0.134,170.0,59955.0
2008,48,Honolulu,HI,Hawaii,15,974563,2020,9,10,9360,158,960.0,15,-0.212,162.0,9604.0
198,1,Los Angeles,CA,California,6,10039107,2020,9,9,249859,618,2489.0,8.43,-0.14,62.0,24889.0
399,2,New York City,NY,New York,36,8336817,2020,9,9,241351,210,2895.0,3.15,-0.107,25.0,28950.0
600,7,Dallas,TX,Texas,48,2635516,2020,9,9,77734,408,2949.0,11.4,-0.0959,155.0,29495.0
801,9,Seattle,WA,Washington,53,2252782,2020,9,9,20459,114,908.0,3.94,-0.14300000000000002,51.0,9082.0
1002,13,Detroit,MI,Michigan,26,1749343,2020,9,9,32646,245,1866.0,9.29,-0.061,140.0,18662.0
1203,21,San Francisco,CA,California,6,881549,2020,9,9,10077,95,1143.0,7.41,-0.24,108.0,11431.0
1404,25,Boston,MA,Massachusetts,25,803907,2020,9,9,22831,43,2840.0,5.74,-0.113,53.0,28400.0
1605,28,Denver,CO,Colorado,8,727211,2020,9,9,11592,13,1594.0,4.97,-0.11199999999999999,18.0,15940.0
1806,38,Miami,FL,Florida,12,2716940,2020,9,9,162432,407,5978.0,15.9,-0.134,150.0,59785.0
2007,48,Honolulu,HI,Hawaii,15,974563,2020,9,9,9202,88,944.0,15.4,-0.212,90.0,9442.0
197,1,Los Angeles,CA,California,6,10039107,2020,9,8,249241,420,2483.0,9.56,-0.14,42.0,24827.0
398,2,New York City,NY,New York,36,8336817,2020,9,8,241141,222,2892.0,3.25,-0.109,27.0,28925.0
599,7,Dallas,TX,Texas,48,2635516,2020,9,8,77326,468,2934.0,11.2,-0.0975,178.0,29340.0
800,9,Seattle,WA,Washington,53,2252782,2020,9,8,20345,6,903.0,3.9,-0.142,3.0,9031.0
1001,13,Detroit,MI,Michigan,26,1749343,2020,9,8,32401,98,1852.0,8.32,-0.0594,56.0,18522.0
1202,21,San Francisco,CA,California,6,881549,2020,9,8,9982,0,1132.0,7.05,-0.235,0.0,11323.0
1403,25,Boston,MA,Massachusetts,25,803907,2020,9,8,22788,32,2835.0,-13.6,-0.115,40.0,28347.0
1604,28,Denver,CO,Colorado,8,727211,2020,9,8,11579,22,1592.0,5.34,-0.10400000000000001,30.0,15922.0
1805,38,Miami,FL,Florida,12,2716940,2020,9,8,162025,389,5964.0,15.6,-0.133,143.0,59635.0
2006,48,Honolulu,HI,Hawaii,15,974563,2020,9,8,9114,114,935.0,18.6,-0.212,117.0,9352.0
196,1,Los Angeles,CA,California,6,10039107,2020,9,7,248821,487,2479.0,10,-0.151,49.0,24785.0
397,2,New York City,NY,New York,36,8336817,2020,9,7,240919,208,2890.0,3.39,-0.11699999999999999,25.0,28898.0
598,7,Dallas,TX,Texas,48,2635516,2020,9,7,76858,0,2916.0,12.4,-0.114,0.0,29162.0
799,9,Seattle,WA,Washington,53,2252782,2020,9,7,20339,56,903.0,4.15,-0.14400000000000002,25.0,9028.0
1000,13,Detroit,MI,Michigan,26,1749343,2020,9,7,32303,320,1847.0,8.55,-0.0687,183.0,18466.0
1201,21,San Francisco,CA,California,6,881549,2020,9,7,9982,64,1132.0,7.86,-0.23199999999999998,73.0,11323.0
1402,25,Boston,MA,Massachusetts,25,803907,2020,9,7,22756,59,2831.0,-12.7,-0.12,73.0,28307.0
1603,28,Denver,CO,Colorado,8,727211,2020,9,7,11557,57,1589.0,5.74,-0.10400000000000001,78.0,15892.0
1804,38,Miami,FL,Florida,12,2716940,2020,9,7,161636,274,5949.0,24.9,-0.14300000000000002,101.0,59492.0
2005,48,Honolulu,HI,Hawaii,15,974563,2020,9,7,9000,89,923.0,19.2,-0.231,91.0,9235.0
195,1,Los Angeles,CA,California,6,10039107,2020,9,6,248334,792,2474.0,10.8,-0.14,79.0,24737.0
396,2,New York City,NY,New York,36,8336817,2020,9,6,240711,295,2887.0,3.49,-0.11199999999999999,35.0,28873.0
597,7,Dallas,TX,Texas,48,2635516,2020,9,6,76858,359,2916.0,17.2,-0.1,136.0,29162.0
798,9,Seattle,WA,Washington,53,2252782,2020,9,6,20283,99,900.0,4.5,-0.14,44.0,9004.0
999,13,Detroit,MI,Michigan,26,1749343,2020,9,6,31983,0,1828.0,6.57,-0.0552,0.0,18283.0
1200,21,San Francisco,CA,California,6,881549,2020,9,6,9918,76,1125.0,7.89,-0.237,86.0,11251.0
1401,25,Boston,MA,Massachusetts,25,803907,2020,9,6,22697,74,2823.0,-12.5,-0.113,92.0,28233.0
1602,28,Denver,CO,Colorado,8,727211,2020,9,6,11500,21,1581.0,5.4,-0.0958,29.0,15814.0
1803,38,Miami,FL,Florida,12,2716940,2020,9,6,161362,345,5939.0,25.3,-0.134,127.0,59391.0
2004,48,Honolulu,HI,Hawaii,15,974563,2020,9,6,8911,146,914.0,19.5,-0.212,150.0,9144.0
194,1,Los Angeles,CA,California,6,10039107,2020,9,5,247542,1135,2466.0,11.1,-0.14,113.0,24658.0
395,2,New York City,NY,New York,36,8336817,2020,9,5,240416,277,2884.0,3.48,-0.11199999999999999,33.0,28838.0
596,7,Dallas,TX,Texas,48,2635516,2020,9,5,76499,418,2903.0,15.3,-0.109,159.0,29026.0
797,9,Seattle,WA,Washington,53,2252782,2020,9,5,20184,92,896.0,4.34,-0.14300000000000002,41.0,8960.0
998,13,Detroit,MI,Michigan,26,1749343,2020,9,5,31983,133,1828.0,7.33,-0.0581,76.0,18283.0
1199,21,San Francisco,CA,California,6,881549,2020,9,5,9842,84,1116.0,7.94,-0.24,95.0,11164.0
1400,25,Boston,MA,Massachusetts,25,803907,2020,9,5,22623,94,2814.0,-12.9,-0.113,117.0,28141.0
1601,28,Denver,CO,Colorado,8,727211,2020,9,5,11479,62,1578.0,5.56,-0.0987,85.0,15785.0
