Name,month,New Cases Per Million People,Relative Humidity
Boston,3,1676.0,57.33
Boston,4,14326.0,59.53
Boston,5,6276.0,57.51
Boston,6,2344.0,64.9
Boston,7,1746.0,70.02
Boston,8,2800.0,64.02
Boston,9,-548.0,62.62
Dallas,3,234.0,69.38
Dallas,4,1099.0,60.76
Dallas,5,2544.0,61.31
Dallas,6,4214.0,54.04
Dallas,7,11370.0,59.85
Dallas,8,8832.0,51.04
Dallas,9,1410.0,71.59
Denver,3,711.0,57.16
Denver,4,3386.0,49.88
Denver,5,3816.0,52.94
Denver,6,1812.0,37.36
Denver,7,3484.0,44.23
Denver,8,2258.0,35.74
Denver,9,577.0,40.65
Detroit,3,2130.0,72.02
Detroit,4,7440.0,64.55
Detroit,5,2112.0,65.69
Detroit,6,1345.0,60.45
Detroit,7,2461.0,67.06
Detroit,8,2383.0,68.78
Detroit,9,1076.0,71.62
Honolulu,3,157.0,70.93
Honolulu,4,247.0,67.73
Honolulu,5,22.0,63.37
Honolulu,6,233.0,63.39
Honolulu,7,1131.0,64.76
Honolulu,8,6092.0,61.92
Honolulu,9,1859.0,60.96
Los Angeles,3,296.0,60.69
Los Angeles,4,2010.0,61.66
Los Angeles,5,3173.0,60.92
Los Angeles,6,4835.0,60.68
Los Angeles,7,8459.0,66.66
Los Angeles,8,5306.0,64.53
Los Angeles,9,1027.0,61.34
Miami,3,779.0,64.85
Miami,4,3657.0,69.86
Miami,5,2187.0,72.73
Miami,6,6925.0,75.05
Miami,7,30046.0,72.3
Miami,8,14150.0,73.98
Miami,9,2381.0,75.81
New York City,3,5190.0,62.21
New York City,4,15506.0,61.5
New York City,5,4235.0,61.49
New York City,6,1409.0,65.07
New York City,7,1198.0,70.24
New York City,8,1093.0,70.43
New York City,9,359.0,65.46
San Francisco,3,419.0,0
San Francisco,4,1251.0,0
San Francisco,5,1199.0,0
San Francisco,6,1185.0,0
San Francisco,7,3373.0,0
San Francisco,8,3313.0,0
San Francisco,9,788.0,0
Seattle,3,863.0,71.32
Seattle,4,1766.0,62.93
Seattle,5,825.0,63.6
Seattle,6,906.0,66.02
Seattle,7,2228.0,60.34
Seattle,8,1982.0,59.93
Seattle,9,460.0,66.05
