Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Dallas,3,88.1,42.2,64.4,37.2,88.1,8.97,,23,40.3,8.8,66.9,69.38
Dallas,4,96.2,41,65.9,33.1,93.7,1.27,,27.7,40.3,9.5,58.8,60.76
Dallas,5,95,55.1,75.2,,101.1,4.77,,25.3,43,9.7,52.1,61.31
Dallas,6,99,65,83.7,,101.4,5.97,,31.1,49.2,9.7,41.9,54.04
Dallas,7,101.9,74,86.4,,110.3,1.46,,23,55.3,9.8,44.9,59.85
Dallas,8,105.2,72,87.6,,113.6,3.69,,23,46.4,9.9,34.8,51.04
Dallas,9,93.8,56.9,76.9,,98.7,5.15,,16.1,35.8,9.5,56.8,71.59
Denver,3,67.9,17.9,42.3,6.8,,1.35,3.31,34.4,45,9.6,51.5,57.16
Denver,4,80.1,13.3,46.9,2.3,78.3,0.61,1.36,24.2,34.4,9.6,50,49.88
Denver,5,90.2,33.8,59.2,27.1,86.2,1.06,,35.8,45,10.4,48.5,52.94
Denver,6,94.7,41,70.5,31.4,89.9,1.67,,40.3,50.8,10.4,43.8,37.36
Denver,7,96.5,54.7,74.5,,91.4,2.35,,26.4,48.3,10.1,42,44.23
Denver,8,97.4,42.8,75.7,39.2,92.3,0.2,,27.7,39.1,9.8,43.7,35.74
Denver,9,98.1,29.9,64.8,22,92.8,0.46,,24.2,35.8,9.3,36.5,40.65
Honolulu,3,81.5,65.9,73.6,,83.3,3.73,,23.9,37.6,9.8,5.3,70.93
Honolulu,4,83.4,66.8,75.7,,85.5,2.52,,20.3,27.9,9.9,4.7,67.73
Honolulu,5,85.5,70.5,77.2,,86.7,0.56,,18.5,29.4,9.9,4.5,63.37
Honolulu,6,87.7,73.2,79.1,,90.7,0.1,,23.2,29.6,9.9,4.4,63.39
Honolulu,7,89,73.1,79.8,,91.5,0.78,,19.7,33.8,9.9,9.5,64.76
Honolulu,8,89.9,73.8,80.6,,91.8,0.13,,22.7,29.8,9.9,5.6,61.92
Honolulu,9,89.1,70.1,80.4,,92.2,0.08,,19.7,28.4,9.9,6.9,60.96
NYC,3,72,26.5,47.4,20.7,,0.6,,17.6,58.6,9.4,17.1,62.21
NYC,4,67.8,37.6,50.3,31.8,,1.59,,20.4,51.8,9.6,18.1,61.5
NYC,5,82.1,36.2,59.9,31.8,80.8,0.7,,20.9,55.3,9.6,15.9,61.49
NYC,6,87.5,53,73,,91.3,0.94,,12.8,58.8,9.8,10.1,65.07
NYC,7,93.2,67.4,80,,102.1,1.19,,14.5,57.5,9.8,14.5,70.24
NYC,8,91.1,66,77.9,,100.6,2.71,,16.1,50.6,9.8,12.2,70.43
NYC,9,87.9,52.9,70.7,,89.6,1.47,,15.5,44.7,9.8,10.7,65.46
San Fran,3,68.7,42.8,53.1,38.3,,0,,19.4,24.3,,0,
San Fran,4,72.8,46.9,55.5,42.7,,0,,18.3,26.9,,0,
San Fran,5,83.8,51,59.1,,,0,,20,28.7,,0,
San Fran,6,75.4,53.8,60,,,0,,21.3,32.8,,0,
San Fran,7,70,52.1,58.9,,,0,,16.2,26.6,,0,
San Fran,8,82.7,54.1,61.3,,,0,,17.5,26.9,,0,
San Fran,9,94.5,55.2,62.9,,,0,,14.6,23.2,,0,
Seattle,3,61.1,29.9,44.5,26,,1.14,,20.8,31.1,9.6,60.9,71.32
Seattle,4,69.2,34.1,52.1,31.7,,0.8,,20.8,31.1,9.7,48.5,62.93
Seattle,5,87.2,42.2,59,38.8,83.7,1.71,,17.2,29.8,9.6,56.4,63.6
Seattle,6,81,51.2,61.7,,80.9,0.79,,16.1,25.3,9.7,61,66.02
Seattle,7,92.9,55.1,66.8,,90.7,0.08,,13.9,23,9.8,41.2,60.34
Seattle,8,97.1,52.1,67.8,,95,0.07,,15,27,9.9,33.3,59.93
Seattle,9,90,51.2,66.3,,86.2,0.9,,15,26.4,6.8,47.9,66.05
Boston,3,72.5,21.1,42.8,17.2,,3.59,,24.2,47.5,9.1,10.4,57.33
Boston,4,62.1,33.3,45.9,33.6,,4.35,,21.9,58.7,9,10.8,59.53
Boston,5,83.8,37.4,58,34.5,84.2,2.22,,12.8,43.8,9.5,9,57.51
Boston,6,90,50.3,69.5,,90.5,2.77,,16.1,33.3,9.5,9.2,64.9
Boston,7,95.2,60.2,75.5,,101.7,2.06,,23,47.2,9.5,20.4,70.02
Boston,8,92.5,59.1,74.4,,96.8,2.27,,23,46,9.9,14.3,64.02
