Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Dallas,Jan,79.1,30.8,52,17.9,,6.28,,27.7,36.8,8.6,59.5,67.4
Dallas,Feb,80.1,28.1,51.1,17,78.4,4.55,,27.7,38.5,9.4,57.7,61.43
Dallas,Mar,88.1,42.2,64.4,37.2,88.1,8.97,,23,40.3,8.8,66.9,69.38
Dallas,Apr,96.2,41,65.9,33.1,93.7,1.27,,27.7,40.3,9.5,58.8,60.76
Dallas,May,95,55.1,75.2,,101.1,4.77,,25.3,43,9.7,52.1,61.31
Dallas,Jun,99,65,83.7,,101.4,5.97,,31.1,49.2,9.7,41.9,54.04
Dallas,Jul,101.9,74,86.4,,110.3,1.46,,23,55.3,9.8,44.9,59.85
Dallas,Aug,105.2,72,87.6,,113.6,3.69,,23,46.4,9.9,34.8,51.04
Dallas,Sep,93.8,56.9,76.9,,98.7,5.15,,16.1,35.8,9.5,56.8,71.59
Dallas,Dec,45,45,45,43.6,,0,,3.4,,9.9,100,45.34
Denver,Jan,60.2,10.3,34.9,0.4,,0.07,1.18,28,43.8,10.1,43,45.3
Denver,Feb,71.5,1.8,29.7,-12.4,,1.14,2.41,32.6,45,9,51.3,62.4
Denver,Mar,67.9,17.9,42.3,6.8,,1.35,3.31,34.4,45,9.6,51.5,57.16
Denver,Apr,80.1,13.3,46.9,2.3,78.3,0.61,1.36,24.2,34.4,9.6,50,49.88
Denver,May,90.2,33.8,59.2,27.1,86.2,1.06,,35.8,45,10.4,48.5,52.94
Denver,Jun,94.7,41,70.5,31.4,89.9,1.67,,40.3,50.8,10.4,43.8,37.36
Denver,Jul,96.5,54.7,74.5,,91.4,2.35,,26.4,48.3,10.1,42,44.23
Denver,Aug,97.4,42.8,75.7,39.2,92.3,0.2,,27.7,39.1,9.8,43.7,35.74
Denver,Sep,98.1,29.9,64.8,22,92.8,0.46,,24.2,35.8,9.3,36.5,40.65
Denver,Dec,33.9,31.7,32.8,24.7,,0,1.18,13.1,,9.9,33.2,36.9
Honolulu,Jan,81.6,65.3,75,,83.1,1.04,,26.3,40,9.9,4.9,68.31
Honolulu,Feb,83.4,62.4,73.4,,84.8,0.89,,23.4,39.1,9.9,3.7,65.4
Honolulu,Mar,81.5,65.9,73.6,,83.3,3.73,,23.9,37.6,9.8,5.3,70.93
Honolulu,Apr,83.4,66.8,75.7,,85.5,2.52,,20.3,27.9,9.9,4.7,67.73
Honolulu,May,85.5,70.5,77.2,,86.7,0.56,,18.5,29.4,9.9,4.5,63.37
Honolulu,Jun,87.7,73.2,79.1,,90.7,0.1,,23.2,29.6,9.9,4.4,63.39
Honolulu,Jul,89,73.1,79.8,,91.5,0.78,,19.7,33.8,9.9,9.5,64.76
Honolulu,Aug,89.9,73.8,80.6,,91.8,0.13,,22.7,29.8,9.9,5.6,61.92
Honolulu,Sep,89.1,70.1,80.4,,92.2,0.08,,19.7,28.4,9.9,6.9,60.96
Honolulu,Dec,76.2,75.4,75.8,,,0,,11.4,21.9,9.9,10.4,63.52
NYC,Jan,65.6,22.2,39.9,15.8,,0.54,,16.1,58.7,9.5,16.5,65.71
NYC,Feb,58.1,17.9,40.2,10.1,,1.09,,20.1,53.4,9.4,18.6,65.41
NYC,Mar,72,26.5,47.4,20.7,,0.6,,17.6,58.6,9.4,17.1,62.21
NYC,Apr,67.8,37.6,50.3,31.8,,1.59,,20.4,51.8,9.6,18.1,61.5
NYC,May,82.1,36.2,59.9,31.8,80.8,0.7,,20.9,55.3,9.6,15.9,61.49
NYC,Jun,87.5,53,73,,91.3,0.94,,12.8,58.8,9.8,10.1,65.07
NYC,Jul,93.2,67.4,80,,102.1,1.19,,14.5,57.5,9.8,14.5,70.24
NYC,Aug,91.1,66,77.9,,100.6,2.71,,16.1,50.6,9.8,12.2,70.43
NYC,Sep,87.9,52.9,70.7,,89.6,1.47,,15.5,44.7,9.8,10.7,65.46
San Fran,Jan,63.6,44.6,52,40,,0,,22,29.2,,0,
San Fran,Feb,70.1,44.1,54.3,39.3,,0,,30.1,38.5,,0,
San Fran,Mar,68.7,42.8,53.1,38.3,,0,,19.4,24.3,,0,
San Fran,Apr,72.8,46.9,55.5,42.7,,0,,18.3,26.9,,0,
San Fran,May,83.8,51,59.1,,,0,,20,28.7,,0,
San Fran,Jun,75.4,53.8,60,,,0,,21.3,32.8,,0,
San Fran,Jul,70,52.1,58.9,,,0,,16.2,26.6,,0,
San Fran,Aug,82.7,54.1,61.3,,,0,,17.5,26.9,,0,
San Fran,Sep,94.5,55.2,62.9,,,0,,14.6,23.2,,0,
San Fran,Dec,53.5,52.7,53,,,0,,5.8,10,,0,
Seattle,Jan,57.8,29,44.9,23.9,,3.42,,23,35.7,8.8,76.9,80.04
Seattle,Feb,57.8,30.8,43.6,24.2,,2,,20.8,35.1,9,65.8,76.1
Seattle,Mar,61.1,29.9,44.5,26,,1.14,,20.8,31.1,9.6,60.9,71.32
Seattle,Apr,69.2,34.1,52.1,31.7,,0.8,,20.8,31.1,9.7,48.5,62.93
Seattle,May,87.2,42.2,59,38.8,83.7,1.71,,17.2,29.8,9.6,56.4,63.6
Seattle,Jun,81,51.2,61.7,,80.9,0.79,,16.1,25.3,9.7,61,66.02
Seattle,Jul,92.9,55.1,66.8,,90.7,0.08,,13.9,23,9.8,41.2,60.34
Seattle,Aug,97.1,52.1,67.8,,95,0.07,,15,27,9.9,33.3,59.93
Seattle,Sep,90,51.2,66.3,,86.2,0.9,,15,26.4,6.8,47.9,66.05
Seattle,Dec,55.1,54,54.3,,,0,,16.1,26.5,9.9,96.3,80.67
Boston,Jan,70.6,13.5,37.1,10.2,,1.39,,34.4,46,9.4,10.4,56.9
Boston,Feb,61.4,11.5,36.8,1.4,,3.29,,17.2,52.9,8.8,10.5,57.75
